experiment_id,condition,seed,true_stage,predicted_stage,row_normalized_probability,count,analysis_scope
D1_SLEEPEDF_TO_ISRUC,C2,42,N1,N1,0.5059171597633136,1197,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N1,N2,0.3072696534234996,727,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N1,N3,0.0,0,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N1,REM,0.13313609467455623,315,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N2,Wake,0.062266500622665005,600,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N2,N1,0.18119551681195517,1746,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N2,N2,0.7175176421751764,6914,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N2,N3,0.008198422581984225,79,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N2,REM,0.030821917808219176,297,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N3,Wake,0.45847554038680316,806,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N3,N1,0.01877133105802048,33,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N3,N2,0.3924914675767918,690,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N3,N3,0.12400455062571103,218,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,N3,REM,0.006257110352673493,11,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,REM,Wake,0.03497566909975669,115,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,REM,N1,0.11557177615571776,380,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,REM,N2,0.2329683698296837,766,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C2,42,REM,N3,0.0,0,DESCRIPTIVE_CONFUSION_MIGRATION
